Month,Count,Direction,CLPR,Visa,Citizenship
2003-08-01,111,Arrivals,India,Visitor,Non-New Zealand
2003-08-01,25,Arrivals,India,Work,Non-New Zealand
2003-09-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-09-01,1,Arrivals,India,Other,Non-New Zealand
2003-09-01,223,Arrivals,India,Residence,Non-New Zealand
2003-09-01,27,Arrivals,India,Student,Non-New Zealand
2003-09-01,356,Arrivals,India,TOTAL,Non-New Zealand
2003-09-01,90,Arrivals,India,Visitor,Non-New Zealand
2003-09-01,15,Arrivals,India,Work,Non-New Zealand
2003-10-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-10-01,5,Arrivals,India,Other,Non-New Zealand
2003-10-01,210,Arrivals,India,Residence,Non-New Zealand
2003-10-01,9,Arrivals,India,Student,Non-New Zealand
2003-10-01,359,Arrivals,India,TOTAL,Non-New Zealand
2003-10-01,106,Arrivals,India,Visitor,Non-New Zealand
2003-10-01,29,Arrivals,India,Work,Non-New Zealand
2003-11-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-11-01,4,Arrivals,India,Other,Non-New Zealand
2003-11-01,215,Arrivals,India,Residence,Non-New Zealand
2003-11-01,14,Arrivals,India,Student,Non-New Zealand
2003-11-01,418,Arrivals,India,TOTAL,Non-New Zealand
2003-11-01,144,Arrivals,India,Visitor,Non-New Zealand
2003-11-01,41,Arrivals,India,Work,Non-New Zealand
2003-12-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-12-01,4,Arrivals,India,Other,Non-New Zealand
2003-12-01,121,Arrivals,India,Residence,Non-New Zealand
2003-12-01,2,Arrivals,India,Student,Non-New Zealand
2003-12-01,253,Arrivals,India,TOTAL,Non-New Zealand
2003-12-01,95,Arrivals,India,Visitor,Non-New Zealand
2003-12-01,31,Arrivals,India,Work,Non-New Zealand
2004-01-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-01-01,1,Arrivals,India,Other,Non-New Zealand
2004-01-01,125,Arrivals,India,Residence,Non-New Zealand
2004-01-01,39,Arrivals,India,Student,Non-New Zealand
2004-01-01,304,Arrivals,India,TOTAL,Non-New Zealand
2004-01-01,115,Arrivals,India,Visitor,Non-New Zealand
2004-01-01,23,Arrivals,India,Work,Non-New Zealand
2004-02-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-02-01,2,Arrivals,India,Other,Non-New Zealand
2004-02-01,185,Arrivals,India,Residence,Non-New Zealand
2004-02-01,266,Arrivals,India,Student,Non-New Zealand
2004-02-01,589,Arrivals,India,TOTAL,Non-New Zealand
2004-02-01,104,Arrivals,India,Visitor,Non-New Zealand
2004-02-01,32,Arrivals,India,Work,Non-New Zealand
2004-03-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-03-01,1,Arrivals,India,Other,Non-New Zealand
2004-03-01,91,Arrivals,India,Residence,Non-New Zealand
2004-03-01,39,Arrivals,India,Student,Non-New Zealand
2004-03-01,283,Arrivals,India,TOTAL,Non-New Zealand
2004-03-01,104,Arrivals,India,Visitor,Non-New Zealand
2004-03-01,47,Arrivals,India,Work,Non-New Zealand
2004-04-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-04-01,4,Arrivals,India,Other,Non-New Zealand
2004-04-01,140,Arrivals,India,Residence,Non-New Zealand
2004-04-01,17,Arrivals,India,Student,Non-New Zealand
2004-04-01,322,Arrivals,India,TOTAL,Non-New Zealand
2004-04-01,122,Arrivals,India,Visitor,Non-New Zealand
2004-04-01,39,Arrivals,India,Work,Non-New Zealand
2004-05-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-05-01,0,Arrivals,India,Other,Non-New Zealand
2004-05-01,138,Arrivals,India,Residence,Non-New Zealand
2004-05-01,23,Arrivals,India,Student,Non-New Zealand
2004-05-01,341,Arrivals,India,TOTAL,Non-New Zealand
2004-05-01,123,Arrivals,India,Visitor,Non-New Zealand
2004-05-01,56,Arrivals,India,Work,Non-New Zealand
2004-06-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-06-01,2,Arrivals,India,Other,Non-New Zealand
2004-06-01,142,Arrivals,India,Residence,Non-New Zealand
2004-06-01,30,Arrivals,India,Student,Non-New Zealand
2004-06-01,337,Arrivals,India,TOTAL,Non-New Zealand
2004-06-01,125,Arrivals,India,Visitor,Non-New Zealand
2004-06-01,38,Arrivals,India,Work,Non-New Zealand
2004-07-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-07-01,0,Arrivals,India,Other,Non-New Zealand
2004-07-01,129,Arrivals,India,Residence,Non-New Zealand
2004-07-01,135,Arrivals,India,Student,Non-New Zealand
2004-07-01,394,Arrivals,India,TOTAL,Non-New Zealand
2004-07-01,106,Arrivals,India,Visitor,Non-New Zealand
2004-07-01,24,Arrivals,India,Work,Non-New Zealand
2004-08-01,1,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-08-01,5,Arrivals,India,Other,Non-New Zealand
2004-08-01,99,Arrivals,India,Residence,Non-New Zealand
2004-08-01,21,Arrivals,India,Student,Non-New Zealand
2004-08-01,263,Arrivals,India,TOTAL,Non-New Zealand
2004-08-01,91,Arrivals,India,Visitor,Non-New Zealand
2004-08-01,46,Arrivals,India,Work,Non-New Zealand
2004-09-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-09-01,5,Arrivals,India,Other,Non-New Zealand
2004-09-01,111,Arrivals,India,Residence,Non-New Zealand
2004-09-01,15,Arrivals,India,Student,Non-New Zealand
2004-09-01,244,Arrivals,India,TOTAL,Non-New Zealand
2004-09-01,75,Arrivals,India,Visitor,Non-New Zealand
2004-09-01,38,Arrivals,India,Work,Non-New Zealand
2004-10-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-10-01,0,Arrivals,India,Other,Non-New Zealand
2004-10-01,67,Arrivals,India,Residence,Non-New Zealand
2004-10-01,17,Arrivals,India,Student,Non-New Zealand
2004-10-01,224,Arrivals,India,TOTAL,Non-New Zealand
2004-10-01,99,Arrivals,India,Visitor,Non-New Zealand
2004-10-01,41,Arrivals,India,Work,Non-New Zealand
2004-11-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-11-01,4,Arrivals,India,Other,Non-New Zealand
2004-11-01,82,Arrivals,India,Residence,Non-New Zealand
2004-11-01,25,Arrivals,India,Student,Non-New Zealand
2004-11-01,207,Arrivals,India,TOTAL,Non-New Zealand
2004-11-01,72,Arrivals,India,Visitor,Non-New Zealand
2004-11-01,24,Arrivals,India,Work,Non-New Zealand
2004-12-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2004-12-01,3,Arrivals,India,Other,Non-New Zealand
2004-12-01,93,Arrivals,India,Residence,Non-New Zealand
2004-12-01,9,Arrivals,India,Student,Non-New Zealand
2004-12-01,239,Arrivals,India,TOTAL,Non-New Zealand
2004-12-01,96,Arrivals,India,Visitor,Non-New Zealand
2004-12-01,38,Arrivals,India,Work,Non-New Zealand
2005-01-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-01-01,1,Arrivals,India,Other,Non-New Zealand
2005-01-01,61,Arrivals,India,Residence,Non-New Zealand
2005-01-01,44,Arrivals,India,Student,Non-New Zealand
2005-01-01,232,Arrivals,India,TOTAL,Non-New Zealand
2005-01-01,92,Arrivals,India,Visitor,Non-New Zealand
2005-01-01,34,Arrivals,India,Work,Non-New Zealand
2005-02-01,2,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-02-01,4,Arrivals,India,Other,Non-New Zealand
2005-02-01,75,Arrivals,India,Residence,Non-New Zealand
2005-02-01,193,Arrivals,India,Student,Non-New Zealand
2005-02-01,429,Arrivals,India,TOTAL,Non-New Zealand
2005-02-01,92,Arrivals,India,Visitor,Non-New Zealand
2005-02-01,63,Arrivals,India,Work,Non-New Zealand
2005-03-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-03-01,3,Arrivals,India,Other,Non-New Zealand
2005-03-01,69,Arrivals,India,Residence,Non-New Zealand
2005-03-01,36,Arrivals,India,Student,Non-New Zealand
2005-03-01,268,Arrivals,India,TOTAL,Non-New Zealand
2005-03-01,91,Arrivals,India,Visitor,Non-New Zealand
2005-03-01,69,Arrivals,India,Work,Non-New Zealand
2005-04-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2005-04-01,5,Arrivals,India,Other,Non-New Zealand
