Month,Count,Direction,CLPR,Visa,Citizenship
2003-10-01,1,Arrivals,Philippines,Work,Non-New Zealand
2003-11-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-11-01,4,Arrivals,Philippines,Other,Non-New Zealand
2003-11-01,40,Arrivals,Philippines,Residence,Non-New Zealand
2003-11-01,5,Arrivals,Philippines,Student,Non-New Zealand
2003-11-01,85,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-11-01,35,Arrivals,Philippines,Visitor,Non-New Zealand
2003-11-01,1,Arrivals,Philippines,Work,Non-New Zealand
2003-12-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-12-01,4,Arrivals,Philippines,Other,Non-New Zealand
2003-12-01,21,Arrivals,Philippines,Residence,Non-New Zealand
2003-12-01,1,Arrivals,Philippines,Student,Non-New Zealand
2003-12-01,70,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-12-01,42,Arrivals,Philippines,Visitor,Non-New Zealand
2003-12-01,2,Arrivals,Philippines,Work,Non-New Zealand
2004-01-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-01-01,1,Arrivals,Philippines,Other,Non-New Zealand
2004-01-01,15,Arrivals,Philippines,Residence,Non-New Zealand
2004-01-01,5,Arrivals,Philippines,Student,Non-New Zealand
2004-01-01,47,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-01-01,22,Arrivals,Philippines,Visitor,Non-New Zealand
2004-01-01,4,Arrivals,Philippines,Work,Non-New Zealand
2004-02-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-02-01,3,Arrivals,Philippines,Other,Non-New Zealand
2004-02-01,11,Arrivals,Philippines,Residence,Non-New Zealand
2004-02-01,19,Arrivals,Philippines,Student,Non-New Zealand
2004-02-01,76,Arrivals,Philippines,TOTAL,Non-New Zealand
2004-02-01,42,Arrivals,Philippines,Visitor,Non-New Zealand
2004-02-01,1,Arrivals,Philippines,Work,Non-New Zealand
2004-03-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2004-03-01,4,Arrivals,Philippines,Other,Non-New Zealand
2004-03-01,21,Arrivals,Philippines,Residence,Non-New Zealand
