"Date","Decision Type","Application Substream","Count"
2017-04-30,"Approved","Approved In Principle",135
2017-04-30,"Approved","Crew",102
2017-04-30,"Approved","Humanitarian",57
2017-04-30,"Approved","Job Search",1458
2017-04-30,"Approved","LTBV/Investor",21
2017-04-30,"Approved","Other",2784
2017-04-30,"Approved","Relationship",2697
2017-04-30,"Approved","Section 61",120
2017-04-30,"Approved","Skilled Migrant",12
2017-04-30,"Approved","Skilled Work",2607
2017-04-30,"Approved","Work -RSE",543
2017-04-30,"Approved","Work to Residence",321
2017-04-30,"Approved","Working Holiday",4053
2017-04-30,"Declined","Approved In Principle",15
2017-04-30,"Declined","Crew",6
2017-04-30,"Declined","Humanitarian",21
2017-04-30,"Declined","Job Search",27
2017-04-30,"Declined","LTBV/Investor",6
2017-04-30,"Declined","Other",264
2017-04-30,"Declined","Relationship",255
2017-04-30,"Declined","Section 61",3
2017-04-30,"Declined","Skilled Migrant",3
2017-04-30,"Declined","Skilled Work",444
2017-04-30,"Declined","Work -RSE",9
2017-04-30,"Declined","Work to Residence",42
2017-04-30,"Declined","Working Holiday",210
2017-05-31,"Approved","Approved In Principle",129
2017-05-31,"Approved","Crew",42
2017-05-31,"Approved","Humanitarian",81
2017-05-31,"Approved","Job Search",1203
2017-05-31,"Approved","LTBV/Investor",21
2017-05-31,"Approved","Other",4053
2017-05-31,"Approved","Relationship",3810
2017-05-31,"Approved","Section 61",198
2017-05-31,"Approved","Skilled Migrant",27
2017-05-31,"Approved","Skilled Work",4014
2017-05-31,"Approved","Work -RSE",411
2017-05-31,"Approved","Work to Residence",492
2017-05-31,"Approved","Working Holiday",6276
2017-05-31,"Declined","Approved In Principle",30
2017-05-31,"Declined","Crew",6
2017-05-31,"Declined","Humanitarian",27
2017-05-31,"Declined","Job Search",33
2017-05-31,"Declined","LTBV/Investor",24
2017-05-31,"Declined","Other",354
2017-05-31,"Declined","Relationship",315
2017-05-31,"Declined","Section 61",9
2017-05-31,"Declined","Skilled Work",573
2017-05-31,"Declined","Work -RSE",12
2017-05-31,"Declined","Work to Residence",63
2017-05-31,"Declined","Working Holiday",300
2017-06-30,"Approved","Approved In Principle",108
2017-06-30,"Approved","Crew",21
2017-06-30,"Approved","Humanitarian",84
2017-06-30,"Approved","Job Search",957
2017-06-30,"Approved","LTBV/Investor",9
2017-06-30,"Approved","Other",3723
2017-06-30,"Approved","Relationship",3981
2017-06-30,"Approved","Section 61",165
2017-06-30,"Approved","Skilled Migrant",12
2017-06-30,"Approved","Skilled Work",3750
2017-06-30,"Approved","Work -RSE",156
2017-06-30,"Approved","Work to Residence",513
2017-06-30,"Approved","Working Holiday",5973
2017-06-30,"Declined","Approved In Principle",54
2017-06-30,"Declined","Crew",9
2017-06-30,"Declined","Humanitarian",21
2017-06-30,"Declined","Job Search",30
2017-06-30,"Declined","LTBV/Investor",30
2017-06-30,"Declined","Other",360
2017-06-30,"Declined","Relationship",345
2017-06-30,"Declined","Section 61",6
2017-06-30,"Declined","Skilled Work",639
2017-06-30,"Declined","Work -RSE",3
2017-06-30,"Declined","Work to Residence",66
2017-06-30,"Declined","Working Holiday",330
2017-07-31,"Approved","Approved In Principle",156
2017-07-31,"Approved","Crew",30
2017-07-31,"Approved","Humanitarian",84
2017-07-31,"Approved","Job Search",1617
2017-07-31,"Approved","LTBV/Investor",18
2017-07-31,"Approved","Other",3252
2017-07-31,"Approved","Relationship",3738
2017-07-31,"Approved","Section 61",132
2017-07-31,"Approved","Skilled Migrant",15
2017-07-31,"Approved","Skilled Work",3849
2017-07-31,"Approved","Work -RSE",87
2017-07-31,"Approved","Work to Residence",738
2017-07-31,"Approved","Working Holiday",6789
2017-07-31,"Declined","Approved In Principle",30
2017-07-31,"Declined","Crew",3
2017-07-31,"Declined","Humanitarian",33
2017-07-31,"Declined","Job Search",24
2017-07-31,"Declined","LTBV/Investor",36
2017-07-31,"Declined","Other",390
2017-07-31,"Declined","Relationship",432
2017-07-31,"Declined","Section 61",6
2017-07-31,"Declined","Skilled Work",693
2017-07-31,"Declined","Work -RSE",0
2017-07-31,"Declined","Work to Residence",72
2017-07-31,"Declined","Working Holiday",402
2017-08-31,"Approved","Approved In Principle",237
2017-08-31,"Approved","Crew",27
2017-08-31,"Approved","Humanitarian",93
2017-08-31,"Approved","Job Search",2175
2017-08-31,"Approved","LTBV/Investor",39
2017-08-31,"Approved","Other",3378
2017-08-31,"Approved","Relationship",3957
2017-08-31,"Approved","Section 61",162
2017-08-31,"Approved","Skilled Migrant",15
2017-08-31,"Approved","Skilled Work",4200
2017-08-31,"Approved","Work -RSE",159
2017-08-31,"Approved","Work to Residence",744
2017-08-31,"Approved","Working Holiday",7152
2017-08-31,"Declined","Approved In Principle",39
2017-08-31,"Declined","Humanitarian",45
2017-08-31,"Declined","Job Search",33
2017-08-31,"Declined","LTBV/Investor",51
2017-08-31,"Declined","Other",426
2017-08-31,"Declined","Relationship",408
2017-08-31,"Declined","Section 61",6
2017-08-31,"Declined","Skilled Work",633
2017-08-31,"Declined","Work -RSE",3
2017-08-31,"Declined","Work to Residence",99
2017-08-31,"Declined","Working Holiday",279
2017-09-30,"Approved","Approved In Principle",222
2017-09-30,"Approved","Crew",225
2017-09-30,"Approved","Humanitarian",108
2017-09-30,"Approved","Job Search",1230
2017-09-30,"Approved","LTBV/Investor",30
2017-09-30,"Approved","Other",2934
2017-09-30,"Approved","Relationship",3057
2017-09-30,"Approved","Section 61",177
