"Year Ended May","Decision Type","Nationality","Occupation Skill Level","Count"
"2016 PARTIAL (Jul-May)","Approved","Georgia","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Germany","(not recorded)",14229
"2016 PARTIAL (Jul-May)","Approved","Germany","Skill level 1",372
"2016 PARTIAL (Jul-May)","Approved","Germany","Skill level 2",174
"2016 PARTIAL (Jul-May)","Approved","Germany","Skill level 3",255
"2016 PARTIAL (Jul-May)","Approved","Germany","Skill level 4",138
"2016 PARTIAL (Jul-May)","Approved","Germany","Skill level 5",72
"2016 PARTIAL (Jul-May)","Approved","Ghana","(not recorded)",24
"2016 PARTIAL (Jul-May)","Approved","Ghana","Skill level 1",3
"2016 PARTIAL (Jul-May)","Approved","Ghana","Skill level 3",0
"2016 PARTIAL (Jul-May)","Approved","Greece","(not recorded)",15
"2016 PARTIAL (Jul-May)","Approved","Greece","Skill level 1",18
"2016 PARTIAL (Jul-May)","Approved","Greece","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Greece","Skill level 3",12
"2016 PARTIAL (Jul-May)","Approved","Greece","Skill level 5",9
"2016 PARTIAL (Jul-May)","Approved","Guatemala","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Guatemala","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Guatemala","Skill level 3",0
"2016 PARTIAL (Jul-May)","Approved","Haiti","(not recorded)",3
"2016 PARTIAL (Jul-May)","Approved","Honduras","(not recorded)",0
"2016 PARTIAL (Jul-May)","Approved","Honduras","Skill level 1",0
"2016 PARTIAL (Jul-May)","Approved","Hong Kong","(not recorded)",618
"2016 PARTIAL (Jul-May)","Approved","Hong Kong","Skill level 1",81
"2016 PARTIAL (Jul-May)","Approved","Hong Kong","Skill level 2",24
"2016 PARTIAL (Jul-May)","Approved","Hong Kong","Skill level 3",27
"2016 PARTIAL (Jul-May)","Approved","Hong Kong","Skill level 4",96
"2016 PARTIAL (Jul-May)","Approved","Hong Kong","Skill level 5",18
"2016 PARTIAL (Jul-May)","Approved","Hungary","(not recorded)",192
"2016 PARTIAL (Jul-May)","Approved","Hungary","Skill level 1",42
"2016 PARTIAL (Jul-May)","Approved","Hungary","Skill level 2",12
"2016 PARTIAL (Jul-May)","Approved","Hungary","Skill level 3",24
"2016 PARTIAL (Jul-May)","Approved","Hungary","Skill level 4",15
"2016 PARTIAL (Jul-May)","Approved","Hungary","Skill level 5",12
"2016 PARTIAL (Jul-May)","Approved","Iceland","(not recorded)",6
"2016 PARTIAL (Jul-May)","Approved","Iceland","Skill level 1",9
"2016 PARTIAL (Jul-May)","Approved","Iceland","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Iceland","Skill level 4",6
"2016 PARTIAL (Jul-May)","Approved","India","(not recorded)",17682
"2016 PARTIAL (Jul-May)","Approved","India","Skill level 1",3039
"2016 PARTIAL (Jul-May)","Approved","India","Skill level 2",4518
"2016 PARTIAL (Jul-May)","Approved","India","Skill level 3",1071
"2016 PARTIAL (Jul-May)","Approved","India","Skill level 4",1923
"2016 PARTIAL (Jul-May)","Approved","India","Skill level 5",486
"2016 PARTIAL (Jul-May)","Approved","Indonesia","(not recorded)",723
"2016 PARTIAL (Jul-May)","Approved","Indonesia","Skill level 1",159
"2016 PARTIAL (Jul-May)","Approved","Indonesia","Skill level 2",123
"2016 PARTIAL (Jul-May)","Approved","Indonesia","Skill level 3",36
"2016 PARTIAL (Jul-May)","Approved","Indonesia","Skill level 4",444
"2016 PARTIAL (Jul-May)","Approved","Indonesia","Skill level 5",78
"2016 PARTIAL (Jul-May)","Approved","Iran","(not recorded)",246
"2016 PARTIAL (Jul-May)","Approved","Iran","Skill level 1",54
"2016 PARTIAL (Jul-May)","Approved","Iran","Skill level 2",6
"2016 PARTIAL (Jul-May)","Approved","Iran","Skill level 3",3
"2016 PARTIAL (Jul-May)","Approved","Iran","Skill level 4",0
"2016 PARTIAL (Jul-May)","Approved","Iran","Skill level 5",3
"2016 PARTIAL (Jul-May)","Approved","Iraq","(not recorded)",81
"2016 PARTIAL (Jul-May)","Approved","Iraq","Skill level 1",3
"2016 PARTIAL (Jul-May)","Approved","Ireland","(not recorded)",2013
"2016 PARTIAL (Jul-May)","Approved","Ireland","Skill level 1",495
"2016 PARTIAL (Jul-May)","Approved","Ireland","Skill level 2",156
"2016 PARTIAL (Jul-May)","Approved","Ireland","Skill level 3",354
"2016 PARTIAL (Jul-May)","Approved","Ireland","Skill level 4",300
"2016 PARTIAL (Jul-May)","Approved","Ireland","Skill level 5",90
"2016 PARTIAL (Jul-May)","Approved","Israel","(not recorded)",222
"2016 PARTIAL (Jul-May)","Approved","Israel","Skill level 1",24
"2016 PARTIAL (Jul-May)","Approved","Israel","Skill level 2",6
"2016 PARTIAL (Jul-May)","Approved","Israel","Skill level 3",6
"2016 PARTIAL (Jul-May)","Approved","Israel","Skill level 4",12
"2016 PARTIAL (Jul-May)","Approved","Israel","Skill level 5",6
"2016 PARTIAL (Jul-May)","Approved","Italy","(not recorded)",2070
"2016 PARTIAL (Jul-May)","Approved","Italy","Skill level 1",195
"2016 PARTIAL (Jul-May)","Approved","Italy","Skill level 2",168
"2016 PARTIAL (Jul-May)","Approved","Italy","Skill level 3",126
"2016 PARTIAL (Jul-May)","Approved","Italy","Skill level 4",78
"2016 PARTIAL (Jul-May)","Approved","Italy","Skill level 5",81
"2016 PARTIAL (Jul-May)","Approved","Jamaica","(not recorded)",6
"2016 PARTIAL (Jul-May)","Approved","Jamaica","Skill level 1",12
"2016 PARTIAL (Jul-May)","Approved","Jamaica","Skill level 3",12
"2016 PARTIAL (Jul-May)","Approved","Jamaica","Skill level 4",0
"2016 PARTIAL (Jul-May)","Approved","Japan","(not recorded)",3078
"2016 PARTIAL (Jul-May)","Approved","Japan","Skill level 1",339
"2016 PARTIAL (Jul-May)","Approved","Japan","Skill level 2",306
"2016 PARTIAL (Jul-May)","Approved","Japan","Skill level 3",165
"2016 PARTIAL (Jul-May)","Approved","Japan","Skill level 4",801
"2016 PARTIAL (Jul-May)","Approved","Japan","Skill level 5",84
"2016 PARTIAL (Jul-May)","Approved","Jordan","(not recorded)",36
"2016 PARTIAL (Jul-May)","Approved","Jordan","Skill level 1",6
"2016 PARTIAL (Jul-May)","Approved","Jordan","Skill level 2",27
"2016 PARTIAL (Jul-May)","Approved","Jordan","Skill level 3",21
"2016 PARTIAL (Jul-May)","Approved","Jordan","Skill level 4",3
"2016 PARTIAL (Jul-May)","Approved","Kazakhstan","(not recorded)",36
"2016 PARTIAL (Jul-May)","Approved","Kazakhstan","Skill level 1",12
"2016 PARTIAL (Jul-May)","Approved","Kazakhstan","Skill level 2",3
"2016 PARTIAL (Jul-May)","Approved","Kazakhstan","Skill level 3",3
"2016 PARTIAL (Jul-May)","Approved","Kazakhstan","Skill level 5",0
"2016 PARTIAL (Jul-May)","Approved","Kenya","(not recorded)",54
"2016 PARTIAL (Jul-May)","Approved","Kenya","Skill level 1",18
"2016 PARTIAL (Jul-May)","Approved","Kenya","Skill level 2",0
"2016 PARTIAL (Jul-May)","Approved","Kenya","Skill level 3",3
"2016 PARTIAL (Jul-May)","Approved","Kenya","Skill level 4",3
"2016 PARTIAL (Jul-May)","Approved","Kiribati","(not recorded)",237
